Rank,Repository,Stars,URL,Date Started,Last Modified
1,ChrisAnd1998/TaskbarX,8017,https://github.com/ChrisAnd1998/TaskbarX,2019-06-16,2024-01-21
2,IridiumIO/CompactGUI,7644,https://github.com/IridiumIO/CompactGUI,2017-10-12,2026-04-15
3,Lake1059/FFmpegFreeUI,6752,https://github.com/Lake1059/FFmpegFreeUI,2025-05-17,2026-03-22
4,Meloong-Git/PCL,6050,https://github.com/Meloong-Git/PCL,2022-07-26,2026-04-28
5,kimmknight/remoteapptool,3881,https://github.com/kimmknight/remoteapptool,2018-11-14,2024-10-14
6,staxrip/staxrip,2867,https://github.com/staxrip/staxrip,2019-05-09,2026-04-09
7,VBA-tools/VBA-Web,2126,https://github.com/VBA-tools/VBA-Web,2012-10-25,2024-03-14
8,VBA-tools/VBA-JSON,2098,https://github.com/VBA-tools/VBA-JSON,2014-10-25,2024-03-14
9,AAndyProgram/SCrawler,2022,https://github.com/AAndyProgram/SCrawler,2021-12-07,2026-03-23
10,PeterStrick/ViVeTool-GUI,1882,https://github.com/PeterStrick/ViVeTool-GUI,2022-01-30,2025-10-28
11,Fleex255/PolicyPlus,1800,https://github.com/Fleex255/PolicyPlus,2016-06-14,2025-12-27
12,frk1/hazedumper,1693,https://github.com/frk1/hazedumper,2016-02-21,2024-03-28
13,CodingWonders/DISMTools,1376,https://github.com/CodingWonders/DISMTools,2022-10-30,2026-04-29
14,basildane/WakeOnLAN,1171,https://github.com/basildane/WakeOnLAN,2015-01-16,2024-03-31
15,NYAN-x-CAT/Lime-RAT,1125,https://github.com/NYAN-x-CAT/Lime-RAT,2018-02-07,2019-06-24
16,mdsecactivebreach/CACTUSTORCH,1015,https://github.com/mdsecactivebreach/CACTUSTORCH,2017-07-04,2018-07-03
17,MoscaDotTo/Winapp2,917,https://github.com/MoscaDotTo/Winapp2,2016-08-16,2026-04-01
18,Mr-Un1k0d3r/MaliciousMacroGenerator,832,https://github.com/Mr-Un1k0d3r/MaliciousMacroGenerator,2016-09-21,2019-04-17
19,rycont/umjunsik-lang,826,https://github.com/rycont/umjunsik-lang,2020-06-26,2024-05-06
20,hama3254/Crunchyroll-Downloader-v3.0,816,https://github.com/hama3254/Crunchyroll-Downloader-v3.0,2019-11-09,2024-06-21
